anime_id,genre
3166,Action
3167,Sci-Fi
3174,Comedy
3175,Action
3180,Comedy
3185,Adventure
3186,Drama
3193,Action
3194,Drama
3199,Adventure
3213,Comedy
3214,Action
3218,Adventure
3219,Comedy
3220,Avant Garde
3221,Adventure
3227,Action
3229,Comedy
3230,Action
3231,Action
3232,Adventure
3234,Action
3247,Comedy
3248,Action
3265,Drama
3266,Comedy
3269,Action
3270,Drama
3271,Adventure
3272,Comedy
3273,Comedy
3274,Comedy
3275,Comedy
3278,Comedy
3279,Comedy
3280,Comedy
3281,Comedy
3295,Adventure
3297,Sci-Fi
3298,Adventure
3299,Drama
3312,Comedy
3313,Adventure
3317,Adventure
3318,Drama
3322,Comedy
3323,Action
3326,Avant Garde
3327,Adventure
3335,Drama
3342,Action
3345,Fantasy
3349,Action
3352,Adventure
3354,Action
3358,Comedy
3359,Action
3363,Action
3366,Action
3371,Action
3381,Adventure
3389,Action
3391,Comedy
3394,Drama
3401,Adventure
3407,Drama
3410,Comedy
3417,Comedy
3418,Action
3419,Comedy
3420,Drama
3421,Comedy
3425,Adventure
3432,Adventure
3433,Sci-Fi
3436,Adventure
3437,Comedy
3444,Action
3446,Action
3449,Slice of Life
3455,Comedy
3457,Drama
3460,Adventure
3464,Action
3466,Adventure
3467,Comedy
3468,Comedy
3469,Drama
3470,Comedy
3472,Comedy
3483,Comedy
3484,Comedy
3486,Adventure
3488,Drama
3501,Adventure
3503,Comedy
3508,Avant Garde
3512,Comedy
3515,Action
3518,Fantasy
3519,Comedy
3522,Action
3535,Comedy
3547,Action
3549,Action
3550,Comedy
3561,Adventure
3568,Comedy
3570,Adventure
3572,Romance
3574,Action
3576,Adventure
3577,Comedy
3588,Action
3593,Action
3594,Action
3602,Action
3603,Action
3609,Adventure
3613,Action
3614,Mystery
3615,Comedy
3616,Action
3619,Comedy
3626,Adventure
3627,Comedy
3631,Adventure
3637,Action
3638,Adventure
3652,Horror
3654,Comedy
3655,Action
3656,Action
3659,Adventure
3665,Action
3667,Action
3672,Comedy
3673,Action
3689,Adventure
3690,Adventure
3701,Adventure
3710,Horror
3712,Action
3713,Horror
3727,Adventure
3731,Comedy
3735,Comedy
3736,Comedy
3737,Adventure
3738,Adventure
3744,Drama
3745,Action
3750,Drama
3757,Adventure
3760,Adventure
3765,Adventure
3782,Action
3783,Action
3784,Drama
3785,Drama
3786,Drama
3791,Comedy
3806,Adventure
3807,Drama
3809,Adventure
3810,Adventure
3834,Adventure
3837,Adventure
3840,Action
3848,Action
3853,Action
3854,Drama
3858,Adventure
3859,Mystery
3861,Action
3868,Drama
3869,Comedy
3876,Adventure
3884,Action
3887,Drama
3898,Adventure
3900,Action
3901,Action
3905,Adventure
3907,Adventure
3913,Action
3914,Avant Garde
3915,Adventure
3923,Action
3927,Drama
3931,Action
3936,Adventure
3937,Comedy
3946,Comedy
3947,Comedy
3948,Action
3952,Action
3958,Comedy
3962,Adventure
3963,Drama
3964,Drama
3965,Comedy
3969,Adventure
3974,Action
3991,Adventure
4003,Action
4013,Action
4015,Comedy
4021,Boys Love
4025,Adventure
4026,Action
4028,Action
4031,Action
4033,Comedy
4038,Action
4039,Action
4044,Horror
4049,Adventure
4051,Action
4052,Action
4059,Drama
4060,Adventure
4061,Adventure
4063,Action
4066,Adventure
4067,Action
4068,Action
4069,Comedy
4074,Adventure
4078,Comedy
4080,Adventure
4081,Slice of Life
